epoch,duration,train acc,valid acc,package_0 energy,package_1 energy,dram_0 energy,dram_1 energy,package_0 power,package_1 power,dram_0 power,dram_1 power
1,164.1197805404663,0.40635067654639173,0.5299,20451.754407,20436.030752,2086.460632,2281.221493,124.61480474595992,124.51899877456377,12.71303571774854,13.899735214656403
2,157.37999725341797,0.665149806701031,0.6517,19608.671176,19595.393684,1998.997051,2129.312705,124.5944307930412,124.51006497634455,12.70172249260594,13.529754366250986
3,153.88176488876343,0.7407377577319587,0.7421,19173.457263,19158.885401,1973.05974,2036.084464,124.59863114294228,124.50393595920472,12.821920397301566,13.231486300354206
4,155.2844488620758,0.7848944909793815,0.7586,19347.115022,19335.976318,2005.284632,2073.928449,124.59145242022386,124.5197214511434,12.913621722553177,13.355673824376776
5,156.16423964500427,0.8032377577319587,0.8141,19455.802976,19442.61789,2006.024907,2084.725139,124.58551983621427,124.50108894454554,12.845609926831756,13.349568017230064
6,158.46485781669617,0.8300378543814433,0.8221,19742.190671,19727.729831,2037.79479,2123.593809,124.5840304469066,124.49277463032216,12.859600658949974,13.401039437125307
7,160.80467677116394,0.8552069909793815,0.8686,20034.483868,20014.232699,2055.285353,2162.694214,124.58893777393328,124.4630013309975,12.781253594538247,13.449199721209986
8,156.9476466178894,0.8784230025773195,0.8524,19553.973074,19538.212373,2012.398596,2097.936214,124.5891448223294,124.48872470556032,12.82210112330936,13.36710845437341
9,161.09318709373474,0.8983770940721649,0.882,20071.007517,20053.083856,2059.931687,2160.315829,124.59252857987936,124.48126589196961,12.787205493683569,13.410348804775863
10,158.42379140853882,0.9190157860824743,0.9139,19738.843938,19722.085254,2028.442268,2118.957022,124.5951997645229,124.48941588035375,12.803899275261694,13.375244987892591
