epoch,duration,train acc,valid acc,package_0 energy,package_1 energy,dram_0 energy,dram_1 energy,package_0 power,package_1 power,dram_0 power,dram_1 power
1,160.70428562164307,0.4066124355670103,0.4619,20021.842298,20002.333498,2054.430481,2167.26896,124.58810429697421,124.46670865450871,12.783918444072388,13.486068225352417
2,155.3591639995575,0.6673244201030928,0.7275,19356.267037,19343.134076,1978.52334,2080.955096,124.59044280809294,124.50590990599751,12.735156968311411,13.394479233976357
3,151.878760099411,0.7436171069587629,0.7544,18921.98397,18911.866075,1936.254077,2020.540797,124.58611037919174,124.51949214374277,12.748682407814238,13.303642956246625
4,156.26276874542236,0.7814110824742269,0.7652,19469.128076,19456.251278,2005.692468,2087.080512,124.5922380123598,124.50983323927544,12.835382888086421,13.356223806581822
5,151.14251565933228,0.8028350515463918,0.7636,18830.903209,18821.974032,1924.157988,2000.742551,124.590378338309,124.53130047420802,12.730752691300683,13.237456993964388
6,153.45913696289062,0.8291921713917526,0.8307,19120.295595,19107.884922,1946.757265,2039.116328,124.5953546553807,124.51448183642957,12.685834832179223,13.287682756179567
7,157.40587520599365,0.857764175257732,0.8478,19612.235681,19595.309211,2001.621751,2108.159292,124.59659244188879,124.48905852691993,12.716309022014082,13.39314234135859
8,155.13691210746765,0.879248550257732,0.8342,19328.146748,19312.762998,1980.766764,2068.868417,124.58767217572858,124.48850976627348,12.767862509909104,13.33575864631647
9,158.67251443862915,0.897571681701031,0.8919,19770.064134,19753.15219,2027.19215,2114.783182,124.59665244446985,124.49006849034375,12.775950246783736,13.32797422087837
10,151.92724657058716,0.9217541881443299,0.9162,18928.327337,18918.087434,1940.312861,2015.336701,124.58810229411799,124.52070225080027,12.771329072290587,13.2651433267676
