epoch,duration,train acc,valid acc,package_0 energy,package_1 energy,dram_0 energy,dram_1 energy,package_0 power,package_1 power,dram_0 power,dram_1 power
1,158.20535683631897,0.4052230992268041,0.4491,19711.827589,19692.685793,2015.174414,2113.693822,124.59646110083413,124.47546775153937,12.737712896061554,13.360444072616653
2,156.88079237937927,0.6619080219072165,0.6814,19546.399912,19531.429735,1996.889537,2097.905308,124.59396472661633,124.49854082689636,12.728706342654062,13.372607801002877
3,153.84749841690063,0.7421875,0.5912,19166.468817,19155.177648,1966.748659,2044.301284,124.58095850906929,124.50756655199369,12.783754557194325,13.28784221411446
4,154.29324746131897,0.7829212306701031,0.7495,19223.06761,19212.286021,1979.089777,2051.916905,124.58787358675036,124.51799632914256,12.826807456341562,13.2988120916595
5,155.1818950176239,0.8091776739690721,0.7173,19333.942021,19320.698952,1989.542171,2071.646316,124.58890271190629,124.50356370377975,12.820710629768048,13.349793903243187
6,159.25402688980103,0.8319305734536082,0.8388,19842.246933,19826.214442,2039.893996,2129.556693,124.59494632892539,124.4942738918567,12.809057553135187,13.372074380722497
7,160.61462593078613,0.8601804123711341,0.8462,20012.005105,19994.14779,2061.909151,2160.129185,124.59640576957044,124.4852246433404,12.83761761452871,13.449143703331645
8,154.15298795700073,0.8797317976804123,0.8749,19206.394191,19190.695928,1956.419446,2061.01609,124.59307111424535,124.4912355078906,12.69141436652348,13.369939287682817
9,152.32089734077454,0.9004711662371134,0.8797,18976.850894,18966.189422,1948.100514,2026.589759,124.58468421141659,124.51469071619611,12.78945008866171,13.304738840042964
10,154.57485961914062,0.9218548646907216,0.9178,19258.572768,19245.063709,1982.452182,2063.335096,124.59058876360292,124.50319383383693,12.825191540749863,13.34845201272628
