epoch,duration,train acc,valid acc,package_0 energy,package_1 energy,dram_0 energy,dram_1 energy,nvidia_gpu_0 energy,nvidia_gpu_1 energy,package_0 power,package_1 power,dram_0 power,dram_1 power,nvidia_gpu_0 power,nvidia_gpu_1 power
1,3.716067552566528,0.4104582796391752,0.5389,374.002766,362.487597,29.875254,32.041382,768.214,89.315,100.6447705025417,97.5460192454374,8.03948086986913,8.622389541296254,206.72767357779267,24.03481603511593
2,3.718909978866577,0.6696399806701031,0.7138,370.913051,365.491618,29.932186,32.133764,773.331,89.512,99.73703399861381,98.27923237641583,8.048644944377632,8.640640451800746,207.94560890008162,24.0694183265175
3,3.776585817337036,0.7477649806701031,0.7203,377.020031,374.709918,30.434408,32.703949,774.079,90.962,99.8309185161973,99.21922501531218,8.05870949900989,8.65965996320464,204.9679359718144,24.085775989102125
4,3.7214725017547607,0.7836259664948454,0.7637,375.788284,366.438881,29.912999,32.051511,770.602,89.468,100.97838525551568,98.46609932687008,8.037947072266508,8.612588426996831,207.0691103149743,24.04102138543648
5,3.724292755126953,0.809338756443299,0.7358,376.37483,366.719093,29.949077,32.096309,770.236,89.814,101.05941040265246,98.46677399223395,8.041547474690695,8.618095061355053,206.8140317217743,24.115719656130636
6,3.726479768753052,0.8290914948453608,0.8228,376.477491,366.816199,29.989209,32.116138,769.424,89.526,101.02764924602722,98.43504373102859,8.047597427326147,8.618358341643873,206.4747557337372,24.024281776781798
7,3.720911502838135,0.8481394974226805,0.7908,380.226199,363.736252,29.948847,32.349831,767.99,89.61,102.1863053474885,97.75460978380141,8.048793145753786,8.694060843781177,206.39835142927038,24.082808723521033
8,3.7799065113067623,0.8588112113402062,0.8125,383.331721,368.446017,30.406562,32.850599,768.396,91.119,101.41301639428043,97.47490206381413,8.044262975564457,8.69084960216202,203.28439280217955,24.10615175995424
9,3.726295948028565,0.8697245489690721,0.815,377.267711,363.023485,29.987878,32.142363,765.351,89.768,101.24469882742335,97.42207545057211,8.047637229636951,8.625821311107952,205.3918987312097,24.09041075964261
10,3.726481914520264,0.8741543170103093,0.8161,377.345348,362.939806,29.959282,32.165174,765.332,89.563,101.26048016754652,97.39475846798085,8.039561894360318,8.631512170948197,205.37655020352528,24.034196879103884
11,3.7197649478912354,0.8834769652061856,0.8543,367.410986,369.488495,29.968048,32.108152,764.19,89.648,98.77263513875742,99.3311405898015,8.056435936090297,8.631769063312015,205.4404003223982,24.100447543284197
12,3.724857807159424,0.8890343105670103,0.8064,383.460932,361.327078,29.846888,32.391921,765.591,89.718,102.94646181203552,97.00426075473415,8.012893255316298,8.69614967254336,205.53563105911945,24.08628856316503
13,3.717691659927368,0.8937057023195877,0.8017,378.089791,362.646959,29.913352,32.260646,764.08,89.551,101.70014772214505,97.54627122763725,8.046216506450245,8.677601305060966,205.52538238604967,24.08779645855556
14,3.7709591388702393,0.8998067010309279,0.8722,381.999999,368.695101,30.346326,32.658462,765.751,90.835,101.30048747079378,97.77223444284238,8.047375981138742,8.660518663107103,203.06531357150033,24.088036134810444
15,3.716261148452759,0.909068943298969,0.8751,371.943201,365.862833,29.981237,32.087986,764.535,89.638,100.08532396999499,98.44917199974621,8.067580776039513,8.63448092536759,205.72693076704502,24.12047927184025
16,3.720775365829468,0.9130960051546392,0.8989,375.027848,364.195174,29.929722,32.03667,764.367,89.548,100.79292919538976,97.88152688406396,8.043947580083971,8.610213423313747,205.43218142641098,24.0670266800794
17,3.7138359546661377,0.9213514819587628,0.8693,374.112751,366.557106,29.877381,31.960323,764.866,89.493,100.7348616273579,98.70040316117094,8.044884417272513,8.605744408243021,205.95039989286738,24.097187138155416
18,3.713783264160156,0.930150612113402,0.8855,374.159076,366.832862,29.909664,31.967744,763.121,89.433,100.74876463869609,98.77605554963813,8.05369130951799,8.607864736885572,205.4834506268836,24.08137299316109
19,3.769640445709229,0.9351038981958762,0.9017,380.309757,372.777427,30.385785,32.616907,765.022,90.953,100.88754152478529,98.88938543842072,8.060658685521702,8.652524682327726,202.94296260291398,24.127765316059975
20,3.722868919372559,0.9448292525773196,0.9079,375.163163,367.603002,29.937587,32.086885,763.513,89.403,100.77259530889657,98.74186009803286,8.041536688067328,8.618859727515689,205.08726375697378,24.01454414222774
21,3.717036724090576,0.9528833762886598,0.9205,374.546221,366.934669,29.909006,31.999185,763.124,89.686,100.76473513767553,98.71698781501158,8.046465025797572,8.60878903687158,205.30440150190034,24.12835994294431
22,3.719795942306519,0.963232925257732,0.9317,374.727312,367.298681,29.884755,32.028056,764.044,89.437,100.73867432836768,98.74162096436145,8.033976987853123,8.610164776979806,205.3994390687577,24.0435231897541
23,3.716419458389282,0.969555412371134,0.9355,375.47725,364.14543,29.918584,32.153853,762.97,89.468,101.03198904322122,97.98286605619667,8.050378687062114,8.65183636024112,205.29706308519752,24.073708848455972
24,3.749547004699707,0.9775088595360824,0.9398,378.364265,365.679911,30.192026,32.393144,764.819,90.171,100.90932705357626,97.52642400312742,8.052179626540783,8.639215339719229,203.97637342360844,24.04850502926862
