epoch,duration,train acc,valid acc,package_0 energy,package_1 energy,dram_0 energy,dram_1 energy,nvidia_gpu_0 energy,nvidia_gpu_1 energy,package_0 power,package_1 power,dram_0 power,dram_1 power,nvidia_gpu_0 power,nvidia_gpu_1 power
1,3.72499418258667,0.4111630154639175,0.4301,377.878061,366.349648,30.262238,31.725299,771.424,89.171,101.4439331922924,98.34905238579553,8.124103425843641,8.516872092930267,207.09401469838434,23.93856087530286
2,3.717722415924072,0.6655122422680413,0.7052,378.623481,365.532329,30.177903,31.619332,772.362,89.129,101.84285932113893,98.32157652069992,8.117309369505206,8.505027665477478,207.7513901230904,23.97408682752508
3,3.7196953296661377,0.7464763208762887,0.7184,379.675237,364.712079,30.189073,31.711958,771.924,89.241,102.07159548039593,98.04891171899685,8.116006910358873,8.525418129566626,207.5234479134839,23.99148104638179
4,3.7709341049194336,0.7807667525773195,0.7715,387.712142,354.959479,30.629728,32.117653,774.812,90.161,102.81594194239665,94.13038497197068,8.122583728005612,8.517161028642848,205.46951456648537,23.909460492130847
5,3.7186148166656494,0.8112717461340206,0.7031,382.42407,349.328085,30.124828,31.646658,769.974,88.994,102.8404631439903,93.94037893745342,8.101088573355351,8.510335046848557,207.05935891752526,23.93202963672311
6,3.714377641677856,0.830823131443299,0.8141,379.551152,357.688233,30.134818,31.604032,768.049,89.117,102.18431958591842,96.29829476316397,8.113019436114072,8.508567261815589,206.77730540426617,23.99244465615083
7,3.725408315658569,0.8508376288659794,0.8235,380.906374,366.712562,30.27942,31.753008,767.443,88.961,102.24553705938253,98.43553536363797,8.127812426017865,8.523363161706687,206.00238550343528,23.879530097702506
8,3.713754177093506,0.8600998711340206,0.8357,377.01643,365.289287,30.097991,31.572804,767.555,89.008,101.51895144957177,98.3611918239258,8.104465068163337,8.50158693721344,206.67900011645662,23.9671221506805
9,3.769150972366333,0.8718790270618557,0.8408,382.445493,370.650418,30.648486,32.096463,768.358,90.146,101.4672789187573,98.3379070558428,8.131403126247923,8.515568422521778,203.85439735188228,23.916792047044193
10,3.7192535400390634,0.8752416237113402,0.8407,378.608283,365.811136,30.1647,31.661254,764.307,88.837,101.79684684686042,98.35606313522736,8.11041776939014,8.51279797388254,205.5001068821924,23.885706915013635
11,3.7149460315704346,0.8860341494845361,0.8446,379.237494,365.661113,30.178301,31.675957,764.219,88.963,102.08425392378672,98.42972411780167,8.123483017932996,8.52662642493611,205.71469773867443,23.947319622942757
12,3.721788167953491,0.8900008054123711,0.8518,377.267528,365.898721,30.222442,31.682888,763.345,88.783,101.36727588326153,98.31261331597968,8.12040896368868,8.512813349455497,205.10167842780328,23.85493101527574
13,3.717022180557251,0.8947728737113402,0.84,377.279063,364.33238,30.171615,31.596412,762.541,88.899,101.50035288286573,98.01727358683121,8.117146881129644,8.500463668275207,205.148358809546,23.916725723351046
14,3.786852598190308,0.90222293814433,0.8579,383.48675,372.281091,30.718698,32.17131,766.391,90.552,101.26793690973442,98.30884127306902,8.111933909093821,8.495527397970093,202.3820521470123,23.912206153277193
15,3.725044012069702,0.9078406894329896,0.874,380.11475,357.732299,30.227934,31.654951,762.92,88.8,102.04302251688064,96.03438183304509,8.114785731942215,8.497873017723604,204.80831837906467,23.83864451326606
16,3.71923565864563,0.9145658827319588,0.8767,382.076842,363.161974,30.106866,31.514879,762.957,88.761,102.72993622004968,97.64424933811439,8.094906793554324,8.47348269710778,205.13811708232356,23.865387446925737
17,3.716637372970581,0.9232039304123713,0.8858,381.793029,364.83836,30.151021,31.516638,762.202,88.672,102.72539144566743,98.16356114085922,8.1124462718033,8.479879750767784,205.07838766922748,23.85812526260196
18,3.715860605239868,0.9293854703608248,0.8767,381.721618,365.04118,30.161916,31.519882,761.788,88.649,102.72764738852707,98.23866360466869,8.117074132831464,8.48252540893291,205.00984319104313,23.856922909054465
19,3.7631566524505615,0.9363120167525774,0.901,387.215805,367.158972,30.588356,32.006896,764.093,89.919,102.89654159038149,97.56675204071206,8.128377005002147,8.505331814756412,203.0457593367589,23.894567328586994
20,3.7269039154052734,0.946681701030928,0.9134,374.814776,369.684295,30.203057,31.677686,761.622,88.745,100.57001320873647,99.19340648195906,8.10406108812055,8.499732410341812,204.35783086647652,23.811990331483937
21,3.720027208328247,0.9543532538659794,0.9146,380.90149,365.338848,30.24657,31.562003,762.391,88.652,102.3921247530806,98.20864943731974,8.130738918329735,8.48434735351942,204.942318242509,23.83100849411248
22,3.716598033905029,0.9637967139175256,0.9234,380.465274,364.902752,30.069763,31.538884,761.506,88.626,102.36922866803684,98.18192569418026,8.090668596841963,8.485955089111991,204.893290329782,23.846000883469415
23,3.717421770095825,0.9709246134020618,0.9364,380.839235,365.055218,30.073879,31.583836,760.726,88.715,102.44714174312885,98.20118366353407,8.089983020469797,8.496166954761728,204.6380655860824,23.864658219213357
24,3.7717125415802,0.9770860180412372,0.9397,386.173206,370.06497,30.570425,31.98491,763.542,89.745,102.38670146325852,98.11589985194291,8.105184226789508,8.480208830177597,202.43907550815254,23.794231137879972
