epoch,duration,train acc,valid acc,package_0 energy,package_1 energy,dram_0 energy,dram_1 energy,nvidia_gpu_0 energy,nvidia_gpu_1 energy,package_0 power,package_1 power,dram_0 power,dram_1 power,nvidia_gpu_0 power,nvidia_gpu_1 power
1,22.65798830986023,0.4322,0.52510005235672,1111.60128,1279.749592,110.503959,200.488338,1146.504,545.961,49.060016485058256,56.481165693032096,4.877041928382991,8.848461534105043,50.60043214432537,24.095740210193792
2,14.346427917480469,0.6362,0.6808000206947327,686.63783,805.915173,61.818028,123.236268,888.554,346.33,47.86124002082519,56.17531957331546,4.308949123473275,8.590031519263567,61.93555671912849,24.140503963220883
3,14.215943336486816,0.71926,0.7175000309944153,686.545117,799.305571,64.442897,121.951924,968.109,343.615,48.294024585614714,56.225995847105864,4.53314250589337,8.578531942160792,68.10022923454116,24.171100845490393
4,14.197619915008545,0.7607,0.7273000478744507,693.28802,799.040863,66.847321,121.728009,980.54,342.952,48.831284690690545,56.279916477783736,4.708346990563859,8.573832073875936,69.06368855271681,24.15559805467532
5,14.224881649017334,0.79284,0.7919999957084656,694.888663,798.743682,66.65875,121.837067,905.561,343.766,48.85022456745736,56.15116538106156,4.686067107251106,8.565067183417769,63.660353902667225,24.16652795306368
6,14.213464975357056,0.82022,0.7923000454902649,692.611752,797.942171,66.096688,121.763749,984.441,343.48,48.72926856335402,56.139876686188195,4.650286760800182,8.56678854952757,69.26115494756549,24.165817455174857
7,14.403122186660767,0.83254,0.8086999654769897,691.446045,807.709481,62.686518,123.536699,996.637,347.84,48.00667772161041,56.078777263172,4.352286760300914,8.577077761265654,69.19589982531845,24.15031931910893
8,14.288434505462646,0.84476,0.8444000482559204,706.995383,803.828203,71.273076,122.400413,931.976,344.486,49.48025500832207,56.25726196195157,4.988165496559572,8.566397736099416,65.22589998531288,24.10942919382097
9,14.352399349212646,0.85198,0.8557001352310181,694.010369,806.163708,64.913555,123.0954,986.073,346.005,48.35500686079171,56.16926399447108,4.522836455464227,8.576642622946027,68.70440098603406,24.107815814014497
10,14.234929084777832,0.8592,0.8671001195907593,689.540166,798.58493,64.689593,121.844503,993.26,342.936,48.44001412956543,56.10037993473177,4.54442678391535,8.559544081627694,69.77625206873323,24.091163219542814
11,14.22726058959961,0.86706,0.8456000089645386,686.38368,795.956276,62.851803,121.74744,963.739,342.668,48.24426147797976,55.94585626567203,4.417702382280523,8.557335351613622,67.7389012403773,24.085311282658072
12,14.357049942016602,0.8711,0.8658000826835632,723.901528,810.923217,70.177291,123.243183,998.234,345.148,50.42132826197582,56.48257965773275,4.8880021510980995,8.584157852604724,69.52918629046626,24.040314785693383
13,14.195438623428345,0.88002,0.872900128364563,703.59616,796.361486,72.261012,121.373859,983.709,341.281,49.56494678782066,56.09981537912285,5.090438831579282,8.550201386499106,69.29754170304207,24.04159596990157
14,14.1709885597229,0.88654,0.8744999766349792,682.759361,790.434684,62.684131,121.210532,980.441,340.221,48.180079895100185,55.778372882650615,4.423412716467942,8.553428117534953,69.18649294422771,24.00827568000328
15,14.351578950881958,0.89388,0.8497999906539917,695.147451,803.285541,64.761335,123.033589,999.545,344.439,48.43700148806837,55.97192781011981,4.512488501902446,8.572825988072841,69.64704046996684,24.000077007473312
16,14.202653884887695,0.89802,0.8814001083374023,687.079235,793.465315,63.6689,121.473676,987.431,340.601,48.37682031603159,55.867397842052966,4.482887530459836,8.55288574829341,69.52440072138025,23.981503933037178
17,14.142333745956421,0.90672,0.85670006275177,708.35628,792.885299,74.695441,120.897143,971.489,338.939,50.087651212624884,56.0646717326058,5.281691292383546,8.54859920376062,68.69368362048226,23.966270778817503
18,14.240340948104858,0.91168,0.8937999606132507,682.328148,794.674601,61.039044,121.79594,883.491,340.941,47.915155296250546,55.804464506571904,4.286347091157479,8.55288089265931,62.04142184654485,23.94191271420178
19,14.303364038467407,0.91872,0.912600040435791,687.350596,799.605314,61.819513,122.538465,995.681,342.633,48.055170388689135,55.90330441492958,4.322026121529373,8.567108036294508,69.61166599145626,23.954714364993034
20,14.215590238571167,0.92616,0.9067000150680542,682.64962,794.289349,61.245456,121.467618,981.618,340.567,48.02119423418428,55.87452477666769,4.308330148249678,8.544676370202474,69.05221545684228,23.957288743167304
21,14.15425729751587,0.93486,0.9226000905036926,706.623435,794.810648,71.989529,120.947587,899.603,339.3,49.92303164674104,56.15346897357112,5.086068981707324,8.544961735380266,63.55706139084274,23.97158627740564
22,14.197508096694946,0.94322,0.9253000020980835,683.407613,793.332137,61.934385,121.490736,981.156,340.404,48.13574384642127,55.87826621382105,4.362341939034906,8.557187301642177,69.1076203878626,23.9763201881352
23,14.181277990341187,0.95174,0.9281001091003418,682.848106,793.265913,61.832441,121.482918,977.092,340.432,48.15138004241121,55.93754762725125,4.360145893911243,8.566429491244833,68.90013725600002,24.005734901457185
24,14.290472984313965,0.9605,0.9357000589370728,686.974742,798.588654,62.0428,122.535757,933.296,342.902,48.072218656027864,55.88259079154177,4.341549791116201,8.5746466988533,65.30896500237877,23.995147002929063
25,14.237838983535767,0.96832,0.938800036907196,709.908156,801.113428,72.514213,121.872012,986.721,342.264,49.860667536760154,56.266504272620644,5.093063145597684,8.559726805516577,69.30272221374439,24.039041345795834
