epoch,duration,train acc,valid acc,package_0 energy,package_1 energy,dram_0 energy,dram_1 energy,nvidia_gpu_0 energy,nvidia_gpu_1 energy,package_0 power,package_1 power,dram_0 power,dram_1 power,nvidia_gpu_0 power,nvidia_gpu_1 power
1,3.7211554050445557,0.4027263208762887,0.4821,178.37906,286.130798,16.246044,32.473332,770.105,89.896,47.93647149435947,76.89299877454971,4.365860124512988,8.726679879044497,206.9531949555273,24.158088070746302
2,3.77278995513916,0.6626328930412371,0.6793,190.263124,292.258712,19.86679,33.116482,773.139,90.736,50.4303516130895,77.46487757737363,5.265808655193796,8.777716860407217,204.92500488845332,24.050106440832376
3,3.7218093872070312,0.7445231958762887,0.7241,190.856933,287.951228,22.6565,32.502249,771.238,89.717,51.28068451222467,77.36861242539025,6.087496065187311,8.73291606811459,207.22125175216524,24.105748217086045
4,3.7268526554107666,0.7798405283505154,0.7702,185.673658,287.381467,19.193085,32.556396,770.325,89.849,49.820498733813075,77.11103538874019,5.149944678423187,8.735627353749432,206.6958560547375,24.108546354671223
5,3.72275447845459,0.8087951030927835,0.6832,178.505646,286.396972,16.236207,32.496588,769.923,89.762,47.94988416053219,76.93146933474127,4.361342412981278,8.729178404881045,206.81541166787196,24.111716343233706
6,3.7273895740509033,0.829212306701031,0.665,182.787863,287.683406,17.586126,32.591984,767.473,89.705,49.03910883705866,77.18093327372472,4.718081019067591,8.743916715037445,205.90093542755585,24.066440659839365
7,3.7241370677948,0.8477971971649485,0.8071,180.203396,285.597597,16.64383,32.546358,766.976,89.848,48.38796014205383,76.68826141490892,4.469177610010856,8.739301859067155,205.94730699698843,24.125857444125263
8,3.7709357738494873,0.8588313466494846,0.7933,181.721214,289.023247,16.517253,32.918945,766.184,90.796,48.189952016735994,76.64496674918337,4.380146995486661,8.729648812447243,203.18139739035007,24.077843125742938
9,3.7226450443267822,0.8701272551546392,0.8597,179.90579,285.567811,16.526218,32.44622,765.179,89.616,48.327409102345634,76.710996509108,4.439375176310603,8.71590485089284,205.54712869176544,24.0732057268185
10,3.72117018699646,0.8761879832474226,0.8588,187.736213,287.36456,19.670828,32.504927,764.994,89.661,50.450853781436734,77.22424548175425,5.2861941302064706,8.735135821948614,205.57888017948042,24.094839927858775
11,3.71915864944458,0.8820876288659794,0.8634,180.540432,285.350954,16.892699,32.404681,763.754,89.744,48.54335321967562,76.72459846331492,4.542075397219949,8.712906346396199,205.35666046783436,24.130188695607913
12,3.7263102531433105,0.8906451353092784,0.8424,180.182034,285.727052,16.523709,32.450443,762.844,89.809,48.354007519370754,76.6782775961761,4.4343352747027724,8.708465156015013,204.71832675674463,24.10132111899219
13,3.7562808990478516,0.897350193298969,0.8543,181.007776,287.97082,16.520787,32.772875,764.572,90.346,48.188029826491984,76.66381395305004,4.398176665698169,8.724820076237462,203.54494792809692,24.051981848029804
14,3.720337152481079,0.902746456185567,0.8083,184.199846,287.056089,18.09453,32.496114,761.639,89.833,49.51160027987189,77.15862225243842,4.863680160797476,8.734722867342402,204.72311212226177,24.146467461985456
15,3.7273054122924805,0.9068943298969072,0.8769,180.419277,285.829224,16.60737,32.541126,763.357,89.85,48.404747409478595,76.68521690155802,4.455596781854704,8.730469441189571,204.80130162730535,24.105886172804315
16,3.7288970947265625,0.9150289948453608,0.876,179.568937,285.866761,16.322407,32.52139,762.609,89.839,48.15604518932633,76.66255027640081,4.37727472369331,8.721450116172962,204.5132865367854,24.09264662386395
17,3.731633186340332,0.9231636597938144,0.8834,184.186784,286.763487,18.686104,32.508537,763.721,89.763,49.35822327720123,76.84664399751284,5.0074868206233685,8.7116110766186,204.66132705529733,24.054615102196557
18,3.7514922618865967,0.9305331829896907,0.9026,190.934326,290.101125,20.204017,32.878292,764.094,90.364,50.89556706268684,77.32952775813814,5.385594741927991,8.764056995139786,203.67734934784139,24.08748137855858
19,3.720226764678955,0.9367952641752577,0.9043,181.565148,285.628419,17.170058,32.454253,762.395,89.614,48.80486042513286,76.77715286386552,4.615325647086388,8.723729775865078,204.93240015324508,24.088316564684852
20,3.7189204692840576,0.946520618556701,0.9042,179.539335,285.233828,16.49057,32.449219,762.867,89.743,48.27727198870799,76.69801770590469,4.434235724103737,8.725440424986262,205.1313025650323,24.13146523062827
21,3.72396183013916,0.953870006443299,0.9162,179.788908,285.493593,16.456205,32.494645,762.398,89.628,48.27893415687386,76.66394179698975,4.419004745648817,8.725826547686637,204.72766230568752,24.06791586170761
22,3.7189478874206543,0.9623872422680413,0.9229,181.927879,286.648314,17.026605,32.487271,762.547,89.601,48.919179431196454,77.07779798947662,4.57833922803611,8.735608022335628,205.043744382468,24.093104478036782
23,3.7637667655944824,0.9736026095360825,0.9345,182.001121,288.815606,16.719458,32.91697,764.53,90.811,48.35611033704772,76.73578730758092,4.44221415440422,8.745751809305007,203.12895235399725,24.12769059712352
24,3.7255849838256836,0.9782538659793815,0.94,181.421654,285.953675,17.337302,32.526837,761.421,89.652,48.69615235932799,76.7540335924275,4.653578451509884,8.730665691753792,204.37622636596555,24.063871952785046
