epoch,duration,train acc,valid acc,package_0 energy,package_1 energy,dram_0 energy,dram_1 energy,nvidia_gpu_0 energy,nvidia_gpu_1 energy,package_0 power,package_1 power,dram_0 power,dram_1 power,nvidia_gpu_0 power,nvidia_gpu_1 power
1,12.084580659866333,0.42956,0.5181000828742981,584.479949,779.677997,54.609295,111.569956,840.288,294.15,48.36576174637945,64.51841556979802,4.518923456017053,9.232422633458103,69.53389808474284,24.340935633529345
2,8.016258239746094,0.63474,0.6105999946594238,383.72436,508.920328,34.807072,70.155472,759.544,195.164,47.868263287405526,63.486019634033084,4.342059719012055,8.7516482006725,94.7504405776301,24.34602206704628
3,8.03642988204956,0.72582,0.6956000328063965,389.14561,511.744295,36.029541,69.917818,751.406,195.422,48.42269710698387,63.67806383068796,4.483276968604777,8.700109255749345,93.49997586345718,24.317016743529503
4,8.125465154647827,0.76374,0.7174000144004822,388.755841,513.714567,34.959123,70.594154,760.451,197.508,47.84413367124326,63.222788753964615,4.302414979898488,8.688013874457344,93.58861130122702,24.307285335784616
5,8.047826528549194,0.79908,0.7744000554084778,393.108124,511.398349,38.034882,69.988228,754.142,195.706,48.846495709800884,63.54490211560155,4.726106093996122,8.696537848041437,93.70753672742887,24.31787008650651
6,8.054284572601318,0.81968,0.7985000014305115,385.944935,509.930701,35.021685,69.955747,749.513,195.352,47.91796608638452,63.31173134044183,4.348205564915734,8.685532075433755,93.05767548239575,24.254419897769584
7,8.194623231887817,0.83478,0.8131999969482422,413.322672,521.77851,43.78629,71.161937,754.831,198.76,50.43827645322771,63.67327639538059,5.343295080317297,8.68397911487704,92.11295975911605,24.254928429968967
8,7.992398262023926,0.848,0.8521000742912292,381.59613,505.545276,34.27454,69.296454,741.059,193.868,47.74488426248268,63.25326384223252,4.288392404424628,8.670295414239275,92.72047959886581,24.25654899120437
9,8.084075689315796,0.85256,0.8583000302314758,399.149125,513.451566,39.746141,70.308992,751.4,195.763,49.37473872585456,63.51394837613853,4.916596841433576,8.697220894767584,92.94816487097927,24.215879158420968
10,8.003199338912964,0.86108,0.8616001009941101,391.59171,507.334273,37.712679,69.379273,754.573,193.91,48.92939603490971,63.391432790290686,4.712200384243126,8.668942264459885,94.28391922354517,24.229060378038497
11,8.063220024108887,0.86804,0.8570000529289246,385.951404,509.128091,34.916375,69.959067,752.274,194.964,47.86566692289335,63.1420312825045,4.33032645712267,8.676318740010023,93.29697041017285,24.179422044426552
12,8.048857688903809,0.87298,0.8360000848770142,388.147444,510.321875,35.451018,70.006695,755.086,194.566,48.22391685904719,63.403018754267706,4.404478171961337,8.697718074517772,93.81281533166687,24.17311965500764
13,8.04298734664917,0.8807,0.8454000353813171,385.097647,507.350019,34.902605,69.701644,758.582,194.452,47.87992699757727,63.07979823086128,4.339507635125269,8.666138711387973,94.31595094029791,24.176589073090067
14,8.089787483215332,0.88726,0.8791000247001648,397.476644,512.62265,38.689599,70.098541,756.935,195.156,49.133137900678285,63.36663986088485,4.782523531090659,8.665065818532348,93.56673479624607,24.123748665204015
15,8.019506216049194,0.89392,0.8760000467300415,382.87579,506.604355,34.349464,69.530299,751.427,193.444,47.74306293743651,63.17151472320678,4.2832392761611,8.670147154553122,93.69990866721844,24.121684650965964
16,8.07620882987976,0.89896,0.8871999979019165,393.953215,510.871373,37.221121,69.969042,760.318,194.731,48.77947354982712,63.25633521385874,4.608736819965829,8.663599898647211,94.14293463871707,24.111684591357843
17,7.975282430648804,0.90666,0.884600043296814,380.822328,502.545772,34.044566,69.021054,757.123,192.218,47.75032499620448,63.01291225358109,4.2687599211744045,8.654371127316304,94.9336912621923,24.101716982625117
18,8.122442483901978,0.91376,0.8987000584602356,395.130458,513.942715,37.472331,70.280413,760.463,195.776,48.646753582203445,63.27440496114227,4.613431375385805,8.652620580483035,93.62491658231818,24.103094652626
19,8.074688196182251,0.9208,0.9162000417709351,392.206699,509.735206,37.331648,69.901324,755.165,194.218,48.57236458807625,63.1275404839787,4.623292824811561,8.656844982949268,93.5224966775863,24.052693463981324
20,7.9772138595581055,0.92802,0.9162999987602234,388.988628,504.452505,36.9495,69.073472,758.989,191.748,48.76246705281985,63.23667810354328,4.6318803344764286,8.658846712156002,95.14462234086876,24.036963703844062
21,7.9373626708984375,0.9339,0.9187999963760376,380.144535,499.988039,34.191079,68.707327,750.807,190.914,47.89305349417417,62.991708925328204,4.307612039117004,8.656190960242839,94.59149482393697,24.05257362120638
22,7.981726408004761,0.944,0.9255000948905945,393.302826,505.233509,38.420334,69.034763,760.463,191.818,49.275408087849534,63.29877562494606,4.813536826001551,8.64910164432171,95.27550320909802,24.03214419973459
23,8.016788959503174,0.9517,0.927600085735321,388.044905,506.715194,36.034958,69.372112,757.215,192.533,48.40403145950451,63.206752299414745,4.494936586460073,8.65335389897793,94.45365268127591,24.01622407332672
24,8.023218631744385,0.96112,0.9342001080513,385.967823,505.746569,35.529813,69.473598,753.164,192.591,48.10635740036963,63.03537173958851,4.428374026780722,8.659068285279327,93.87304952903287,24.0042068949737
25,7.99689245223999,0.96918,0.938800036907196,385.904652,505.883715,35.060455,69.264538,756.725,191.915,48.256826549156,63.26003732341031,4.384259912133656,8.661431726595058,94.62738238877223,23.998697137191478
